Repository,CurrentStatus,TargetStatus,Priority,Progress
BigBountyRecon-main,STUB,NATIVE,HIGH,100%
CyberDeck-main,WRAPPER,NATIVE,HIGH,100%
METATRON-main,STUB,NATIVE,HIGH,100%
AcquiFinder-main,WRAPPER,NATIVE,HIGH,100%
Bug-Bounty-Agents-main,STUB,NATIVE,HIGH,100%
breach-check-main,STUB,NATIVE,HIGH,100%
csprecon-main,STUB,NATIVE,MEDIUM,100%
active-ip-main,STUB,NATIVE,MEDIUM,100%
s3cXSSer-main,STUB,NATIVE,MEDIUM,100%
deksterecon-main,STUB,NATIVE,MEDIUM,100%
awesome-hacking-lists-main,STUB,ARCHIVED,LOW,100%
