Plugin,Category,Repository,FileCount,Status,Notes
cloud_enum,cloud,cloud_enum,1,BROKEN,SyntaxError
contacts,osint,contacts,1,BROKEN,SyntaxError
crtsh,osint,crtsh,2,BROKEN,SyntaxError
metadata,osint,metadata,1,BROKEN,SyntaxError
acquifinder,recon,acquifinder,1,BROKEN,SyntaxError
active_recon,recon,active_recon,1,BROKEN,SyntaxError
asn,recon,asn,3,BROKEN,SyntaxError
asn_intel,recon,asn_intel,1,BROKEN,SyntaxError
bigbountyrecon,recon,bigbountyrecon,1,BROKEN,SyntaxError
content_discovery,recon,content_discovery,1,BROKEN,SyntaxError
csp_extractor,recon,csp_extractor,1,BROKEN,SyntaxError
dns_intelligence,recon,dns_intelligence,1,BROKEN,SyntaxError
fingerprinting,recon,fingerprinting,4,BROKEN,SyntaxError
graphql_scan,recon,graphql_scan,1,BROKEN,SyntaxError
http_headers,recon,http_headers,1,BROKEN,SyntaxError
llm_analysis,recon,llm_analysis,1,BROKEN,SyntaxError
malicious,recon,malicious,1,BROKEN,SyntaxError
naabu,recon,naabu,1,BROKEN,SyntaxError
network_discovery,recon,network_discovery,1,BROKEN,SyntaxError
nuclei,recon,nuclei,3,BROKEN,SyntaxError
passive_recon,recon,passive_recon,3,BROKEN,SyntaxError
scan4all,recon,scan4all,1,BROKEN,SyntaxError
service_detection,recon,service_detection,1,BROKEN,SyntaxError
ssl,recon,ssl,1,BROKEN,SyntaxError
subdomains,recon,subdomains,4,BROKEN,SyntaxError
subfinder,recon,subfinder,3,BROKEN,SyntaxError
surface_mapping,recon,surface_mapping,1,BROKEN,SyntaxError
tech_detection,recon,tech_detection,1,BROKEN,SyntaxError
viewport,recon,viewport,1,BROKEN,SyntaxError
web_assets,recon,web_assets,1,BROKEN,SyntaxError
web_recon,recon,web_recon,3,BROKEN,SyntaxError
whois,recon,whois,3,BROKEN,SyntaxError
xss_scan,recon,xss_scan,1,BROKEN,SyntaxError
workflows,vulnerabilities,workflows,2,BROKEN,SyntaxError
