File,Repository,Language,Purpose,Status
plugins\ai_systems\reconftw_prox_deploy\deps.sh,reconftw_prox_deploy,.sh,Core Tool Logic,Recovered
plugins\ai_systems\test_integration\deps.sh,test_integration,.sh,Core Tool Logic,Recovered
plugins\api_security\build\deps.sh,build,.sh,Core Tool Logic,Recovered
plugins\api_security\build-mvn\deps.sh,build-mvn,.sh,Core Tool Logic,Recovered
plugins\api_security\config\deps.sh,config,.sh,Core Tool Logic,Recovered
plugins\api_security\install-git-hooks\deps.sh,install-git-hooks,.sh,Core Tool Logic,Recovered
plugins\api_security\reset_juice_shop\deps.sh,reset_juice_shop,.sh,Core Tool Logic,Recovered
plugins\api_security\upgrade\deps.sh,upgrade,.sh,Core Tool Logic,Recovered
plugins\cloud_security\entrypoint\deps.sh,entrypoint,.sh,Core Tool Logic,Recovered
plugins\cloud_security\fix-workspace-permissions\deps.sh,fix-workspace-permissions,.sh,Core Tool Logic,Recovered
plugins\cloud_security\osint\deps.sh,osint,.sh,Core Tool Logic,Recovered
plugins\cloud_security\setup\deps.sh,setup,.sh,Core Tool Logic,Recovered
plugins\cloud_security\setup_1\deps.sh,setup_1,.sh,Core Tool Logic,Recovered
plugins\cloud_security\teardown\deps.sh,teardown,.sh,Core Tool Logic,Recovered
plugins\exploitation\common\deps.sh,common,.sh,Core Tool Logic,Recovered
plugins\exploitation\findings\deps.sh,findings,.sh,Core Tool Logic,Recovered
plugins\exploitation\handoff\deps.sh,handoff,.sh,Core Tool Logic,Recovered
plugins\exploitation\migrate\deps.sh,migrate,.sh,Core Tool Logic,Recovered
plugins\exploitation\test_findings\deps.sh,test_findings,.sh,Core Tool Logic,Recovered
plugins\infrastructure\check-env\deps.sh,check-env,.sh,Core Tool Logic,Recovered
plugins\infrastructure\entrypoint_1\deps.sh,entrypoint_1,.sh,Core Tool Logic,Recovered
plugins\infrastructure\run\deps.sh,run,.sh,Core Tool Logic,Recovered
plugins\infrastructure\run-shannon-blackbox\deps.sh,run-shannon-blackbox,.sh,Core Tool Logic,Recovered
plugins\infrastructure\run_all\deps.sh,run_all,.sh,Core Tool Logic,Recovered
plugins\infrastructure\run_bench\deps.sh,run_bench,.sh,Core Tool Logic,Recovered
plugins\orchestration\update\deps.sh,update,.sh,Core Tool Logic,Recovered
plugins\osint\validation\deps.sh,validation,.sh,Core Tool Logic,Recovered
plugins\recon\axiom\deps.sh,axiom,.sh,Core Tool Logic,Recovered
plugins\recon\check_artifacts\deps.sh,check_artifacts,.sh,Core Tool Logic,Recovered
plugins\recon\common_2\deps.sh,common_2,.sh,Core Tool Logic,Recovered
plugins\recon\core\deps.sh,core,.sh,Core Tool Logic,Recovered
plugins\recon\demo\deps.sh,demo,.sh,Core Tool Logic,Recovered
plugins\recon\doctor\deps.sh,doctor,.sh,Core Tool Logic,Recovered
plugins\recon\install\deps.sh,install,.sh,Core Tool Logic,Recovered
plugins\recon\install_4\deps.sh,install_4,.sh,Core Tool Logic,Recovered
plugins\recon\modes\deps.sh,modes,.sh,Core Tool Logic,Recovered
plugins\recon\parallel\deps.sh,parallel,.sh,Core Tool Logic,Recovered
plugins\recon\reconftw\deps.sh,reconftw,.sh,Core Tool Logic,Recovered
plugins\recon\reconx\deps.sh,reconx,.sh,Core Tool Logic,Recovered
plugins\recon\setup_2\deps.sh,setup_2,.sh,Core Tool Logic,Recovered
plugins\recon\spotter\deps.sh,spotter,.sh,Core Tool Logic,Recovered
plugins\recon\subdomains\deps.sh,subdomains,.sh,Core Tool Logic,Recovered
plugins\recon\utils\deps.sh,utils,.sh,Core Tool Logic,Recovered
plugins\recon\web\deps.sh,web,.sh,Core Tool Logic,Recovered
plugins\reporting\check_artifacts_all\deps.sh,check_artifacts_all,.sh,Core Tool Logic,Recovered
plugins\reporting\compare_baseline\deps.sh,compare_baseline,.sh,Core Tool Logic,Recovered
plugins\reporting\run_tests\deps.sh,run_tests,.sh,Core Tool Logic,Recovered
plugins\web_scanning\install_1\deps.sh,install_1,.sh,Core Tool Logic,Recovered
plugins\web_scanning\vulns\deps.sh,vulns,.sh,Core Tool Logic,Recovered
modules\reporting\reporting.py,reporting,.py,Core Tool Logic,Recovered
modules\reporting\__init__.py,reporting,.py,Core Tool Logic,Recovered
